"month","day","mean","sdmean","rollmean","year","date","minus","plus"
3,21,6.08508780347496e-06,3.49651933277973e-06,6.05859461910061e-06,2020,2020-03-21,5.35703966781832e-06,6.76014957038289e-06
3,22,6.79674865970724e-06,2.75557067092837e-06,6.73998472479627e-06,2020,2020-03-22,5.81529682145875e-06,7.6646726281338e-06
3,23,7.33811771120663e-06,5.03807428642027e-06,8.23788301755413e-06,2020,2020-03-23,6.55753723217914e-06,9.91822880292912e-06
3,24,1.05787826817485e-05,6.36325518316347e-06,8.95718398965445e-06,2020,2020-03-24,7.72288265988224e-06,1.01914853194266e-05
3,25,8.95465157600818e-06,2.73660541179141e-06,9.849647754457e-06,2020,2020-03-25,8.40764339280977e-06,1.12916521161042e-05
3,26,1.00155090056143e-05,5.7684322499469e-06,9.19739153152359e-06,2020,2020-03-26,8.07232752534363e-06,1.03224555377036e-05
3,27,8.6220140129483e-06,5.87193764572533e-06,8.60664101875458e-06,2020,2020-03-27,5.93510396024506e-06,1.12781780772641e-05
3,28,7.18240003770115e-06,3.62737961538458e-06,8.31353685446745e-06,2020,2020-03-28,4.3499265849159e-06,1.2277147124019e-05
3,29,9.13619651275291e-06,6.76213351919173e-06,7.62776766473896e-06,2020,2020-03-29,3.65670261516981e-06,1.15988327143081e-05
3,30,6.56470644376284e-06,5.11687320955886e-06,7.09296048206984e-06,2020,2020-03-30,4.54847751805823e-06,9.63744344608146e-06
3,31,5.57797848969378e-06,2.41368387960424e-06,6.06760630959767e-06,2020,2020-03-31,4.34470518443315e-06,7.79050743476219e-06
4,1,6.06013399533639e-06,2.96782179696497e-06,5.10273396093327e-06,2020,2020-04-01,4.07929472266895e-06,6.12617319919759e-06
4,2,3.67008939776964e-06,2.12230383171985e-06,4.88112378635246e-06,2020,2020-04-02,4.17956883507018e-06,5.58267873763475e-06
4,3,4.91314796595137e-06,3.31010477027397e-06,5.05217958145478e-06,2020,2020-04-03,4.12749167811726e-06,5.9768674847923e-06
4,4,6.57330138064334e-06,5.56016599936154e-06,6.12138991464775e-06,2020,2020-04-04,4.44104412927276e-06,7.80173570002275e-06
4,5,6.87772039734856e-06,5.93470004159399e-06,6.36162220453452e-06,2020,2020-04-05,5.12732087476232e-06,7.59592353430672e-06
4,6,5.63384483561166e-06,4.43458324202501e-06,6.65636613910709e-06,2020,2020-04-06,5.21436177745986e-06,8.09837050075432e-06
4,7,7.45753318436105e-06,1.22118175854068e-05,6.72723691775631e-06,2020,2020-04-07,5.60217291157635e-06,7.85230092393627e-06
4,8,7.09033273329622e-06,6.13846022464824e-06,7.05944105112024e-06,2020,2020-04-08,4.38790399261073e-06,9.73097810962976e-06
4,9,6.63045723570345e-06,6.02628129802658e-06,7.33014356866106e-06,2020,2020-04-09,3.36653329910951e-06,1.12937538382126e-05
4,10,8.26964073698349e-06,8.77378846988948e-06,8.29763680855145e-06,2020,2020-04-10,4.3265717589823e-06,1.22687018581206e-05
4,11,9.99281245296742e-06,1.60503393662638e-05,9.64556795673038e-06,2020,2020-04-11,7.10108499271876e-06,1.2190050920742e-05
4,12,1.06742506802402e-05,1.66026064553625e-05,1.00387364092743e-05,2020,2020-04-12,8.31583528410974e-06,1.17616375344388e-05
4,13,9.44914609461513e-06,1.48218649522158e-05,8.10924573331851e-06,2020,2020-04-13,7.08580649505419e-06,9.13268497158283e-06
4,14,4.20434042510019e-06,2.16223134168464e-06,5.96937371379108e-06,2020,2020-04-14,5.2678187625088e-06,6.67092866507337e-06
4,15,4.25463462165793e-06,4.37090915425539e-06,3.8871827368013e-06,2020,2020-04-15,2.96249483346378e-06,4.81187064013883e-06
4,16,3.2025731636458e-06,3.80600650739124e-06,3.91574105095337e-06,2020,2020-04-16,2.23539526557838e-06,5.59608683632836e-06
4,17,4.2900153675564e-06,4.51453969479968e-06,4.19282262756561e-06,2020,2020-04-17,2.95852129779341e-06,5.42712395733781e-06
4,18,5.08587935149464e-06,4.47442081270676e-06,4.32132605167496e-06,2020,2020-04-18,2.87932169002773e-06,5.7633304133222e-06
4,19,3.58808343597386e-06,3.08861804147165e-06,3.83400627585918e-06,2020,2020-04-19,2.70894226967922e-06,4.95907028203914e-06
4,20,2.82805604010904e-06,3.17793519847147e-06,3.33850770540975e-06,2020,2020-04-20,6.66970646900234e-07,6.01004476391927e-06
4,21,3.59938364014635e-06,2.07718751259298e-06,3.25434546519135e-06,2020,2020-04-21,-7.09264804360196e-07,7.2179557347429e-06
4,22,3.33559671531866e-06,2.43901934978165e-06,3.79436259959295e-06,2020,2020-04-22,-1.76702449976202e-07,7.7654276491621e-06
4,23,4.44810744331384e-06,3.14819517417007e-06,3.76811664348608e-06,2020,2020-04-23,1.22363367947447e-06,6.3125996074977e-06
4,24,3.52064577182576e-06,3.3309238111265e-06,4.02384335046515e-06,2020,2020-04-24,2.30094222530064e-06,5.74674447562967e-06
4,25,4.10277683625586e-06,3.48878952159639e-06,3.96800783587218e-06,2020,2020-04-25,2.94456859760786e-06,4.99144707413651e-06
4,26,4.28060089953493e-06,3.2538211178743e-06,4.18340350197195e-06,2020,2020-04-26,3.48184855068966e-06,4.88495845325423e-06
4,27,4.16683277012504e-06,3.17888798616356e-06,4.03449617827809e-06,2020,2020-04-27,3.10980827494057e-06,4.95918408161561e-06
4,28,3.65605486517428e-06,3.25736718933786e-06,3.99568219318647e-06,2020,2020-04-28,2.31533640781149e-06,5.67602797856147e-06
4,29,4.1641589442601e-06,4.69836844038985e-06,3.90498728367992e-06,2020,2020-04-29,2.67068595390772e-06,5.13928861345213e-06
4,30,3.89474804160539e-06,2.38000108658486e-06,4.26785762107744e-06,2020,2020-04-30,2.8258532594302e-06,5.70986198272467e-06
5,1,4.74466587736682e-06,2.47651291450056e-06,3.88604141490613e-06,2020,2020-05-01,2.76097740872617e-06,5.01110542108609e-06
5,2,3.01871032574618e-06,2.66418344952664e-06,3.80511328245199e-06,2020,2020-05-02,1.13357622394247e-06,6.4766503409615e-06
5,3,3.65196364424296e-06,1.53326638751797e-06,3.51599320037705e-06,2020,2020-05-03,-4.47617069174491e-07,7.4796034699286e-06
5,4,3.87730563114202e-06,2.56275394943999e-06,4.21078947675156e-06,2020,2020-05-04,2.39724427182413e-07,8.18185452632071e-06
5,5,5.10309915486971e-06,4.17401620154015e-06,5.53724997716949e-06,2020,2020-05-05,2.99276701315788e-06,8.08173294118111e-06
5,6,7.63134514549675e-06,5.48454749855428e-06,6.78077890111386e-06,2020,2020-05-06,5.05787777594934e-06,8.50368002627838e-06
5,7,7.60789240297511e-06,5.07372848008034e-06,7.4207506143242e-06,2020,2020-05-07,6.39731137605987e-06,8.44418985258852e-06
5,8,7.02301429450073e-06,5.09863249713715e-06,7.73831120687712e-06,2020,2020-05-08,7.03675625559483e-06,8.4398661581594e-06
5,9,8.58402692315551e-06,7.03826267450532e-06,7.97264755557223e-06,2020,2020-05-09,7.04795965223471e-06,8.89733545890975e-06
5,10,8.31090144906046e-06,6.67333820488907e-06,7.66735423951381e-06,2020,2020-05-10,5.98700845413882e-06,9.3477000248888e-06
5,11,6.10713434632547e-06,7.92117039380259e-06,7.58757713019489e-06,2020,2020-05-11,6.35327580042268e-06,8.82187845996709e-06
5,12,8.34469559519873e-06,7.4682039169978e-06,7.7914421281427e-06,2020,2020-05-12,6.34943776649546e-06,9.23344648978993e-06
5,13,8.9224964429039e-06,7.10707433295668e-06,8.7589204090699e-06,2020,2020-05-13,7.63385640288994e-06,9.88398441524986e-06
5,14,9.00956918910706e-06,7.04422534867924e-06,8.65080227584963e-06,2020,2020-05-14,5.97926521734011e-06,1.13223393343591e-05
5,15,8.02034119553792e-06,6.91896184677898e-06,8.28280648025722e-06,2020,2020-05-15,4.31919621070567e-06,1.22464167498088e-05
5,16,7.81850905612668e-06,5.63967751886527e-06,8.48081664816883e-06,2020,2020-05-16,4.50975159859968e-06,1.2451881697738e-05
5,17,9.6035996928419e-06,7.14216834723346e-06,8.94649850568911e-06,2020,2020-05-17,6.40201554167749e-06,1.14909814697007e-05
5,18,9.41738676809875e-06,7.46964537889379e-06,9.73800572958024e-06,2020,2020-05-18,8.01510460441572e-06,1.14609068547448e-05
