date;year;month;day;hour;minute;second;T42
9.1.2018 6:00;2018;1;9;6;0;0;-0,4782
9.1.2018 7:00;2018;1;9;7;0;0;-0,3152
9.1.2018 8:00;2018;1;9;8;0;0;-0,4587
9.1.2018 9:00;2018;1;9;9;0;0;-0,618
9.1.2018 10:00;2018;1;9;10;0;0;-1,0493
9.1.2018 11:00;2018;1;9;11;0;0;-0,7872
9.1.2018 12:00;2018;1;9;12;0;0;-0,5018
9.1.2018 13:00;2018;1;9;13;0;0;-0,6537
9.1.2018 14:00;2018;1;9;14;0;0;-0,8603
9.1.2018 15:00;2018;1;9;15;0;0;-1,0717
9.1.2018 16:00;2018;1;9;16;0;0;-1,2863
9.1.2018 17:00;2018;1;9;17;0;0;-1,219
9.1.2018 18:00;2018;1;9;18;0;0;-1,3232
9.1.2018 19:00;2018;1;9;19;0;0;-1,7108
9.1.2018 20:00;2018;1;9;20;0;0;-2,0267
9.1.2018 21:00;2018;1;9;21;0;0;-2,1445
9.1.2018 22:00;2018;1;9;22;0;0;-2,6457
9.1.2018 23:00;2018;1;9;23;0;0;-2,6702
10.1.2018 0:00;2018;1;10;0;0;0;-2,8638
10.1.2018 1:00;2018;1;10;1;0;0;-2,9723
10.1.2018 2:00;2018;1;10;2;0;0;-3,2338
10.1.2018 3:00;2018;1;10;3;0;0;-3,6795
10.1.2018 4:00;2018;1;10;4;0;0;-3,6937
10.1.2018 5:00;2018;1;10;5;0;0;-4,2122
10.1.2018 6:00;2018;1;10;6;0;0;-4,9002
10.1.2018 7:00;2018;1;10;7;0;0;-5,1795
10.1.2018 8:00;2018;1;10;8;0;0;-4,98
10.1.2018 9:00;2018;1;10;9;0;0;-4,8427
10.1.2018 10:00;2018;1;10;10;0;0;-5,0075
10.1.2018 11:00;2018;1;10;11;0;0;-4,9348
10.1.2018 12:00;2018;1;10;12;0;0;-4,7
10.1.2018 13:00;2018;1;10;13;0;0;-4,2737
10.1.2018 14:00;2018;1;10;14;0;0;-4,0243
10.1.2018 15:00;2018;1;10;15;0;0;-4,2338
10.1.2018 16:00;2018;1;10;16;0;0;-4,6572
10.1.2018 17:00;2018;1;10;17;0;0;-5,0568
10.1.2018 18:00;2018;1;10;18;0;0;-5,8605
10.1.2018 19:00;2018;1;10;19;0;0;-6,5762
10.1.2018 20:00;2018;1;10;20;0;0;-6,7188
10.1.2018 21:00;2018;1;10;21;0;0;-6,8403
10.1.2018 22:00;2018;1;10;22;0;0;-7,3327
10.1.2018 23:00;2018;1;10;23;0;0;-7,4958
11.1.2018 0:00;2018;1;11;0;0;0;-7,6808
11.1.2018 1:00;2018;1;11;1;0;0;-7,9777
11.1.2018 2:00;2018;1;11;2;0;0;-8,2647
11.1.2018 3:00;2018;1;11;3;0;0;-8,4262
11.1.2018 4:00;2018;1;11;4;0;0;-8,5722
11.1.2018 5:00;2018;1;11;5;0;0;-8,8043
11.1.2018 6:00;2018;1;11;6;0;0;-9,1517
11.1.2018 7:00;2018;1;11;7;0;0;-9,5347
11.1.2018 8:00;2018;1;11;8;0;0;-10,3332
11.1.2018 9:00;2018;1;11;9;0;0;-10,0642
11.1.2018 10:00;2018;1;11;10;0;0;-9,3887
11.1.2018 11:00;2018;1;11;11;0;0;-8,4747
11.1.2018 12:00;2018;1;11;12;0;0;-7,668
11.1.2018 13:00;2018;1;11;13;0;0;-7,0608
11.1.2018 14:00;2018;1;11;14;0;0;-6,5015
11.1.2018 15:00;2018;1;11;15;0;0;-6,0067
11.1.2018 16:00;2018;1;11;16;0;0;-5,8225
11.1.2018 17:00;2018;1;11;17;0;0;-5,67
11.1.2018 18:00;2018;1;11;18;0;0;-5,6748
11.1.2018 19:00;2018;1;11;19;0;0;-5,6513
11.1.2018 20:00;2018;1;11;20;0;0;-5,5575
11.1.2018 21:00;2018;1;11;21;0;0;-5,4735
11.1.2018 22:00;2018;1;11;22;0;0;-5,5668
11.1.2018 23:00;2018;1;11;23;0;0;-5,6528
12.1.2018 0:00;2018;1;12;0;0;0;-5,5087
12.1.2018 1:00;2018;1;12;1;0;0;-5,6405
12.1.2018 2:00;2018;1;12;2;0;0;-5,6025
12.1.2018 3:00;2018;1;12;3;0;0;-5,5707
12.1.2018 4:00;2018;1;12;4;0;0;-5,4122
12.1.2018 5:00;2018;1;12;5;0;0;-5,488
12.1.2018 6:00;2018;1;12;6;0;0;-5,486
12.1.2018 7:00;2018;1;12;7;0;0;-5,5267
12.1.2018 8:00;2018;1;12;8;0;0;-5,4838
